SampleID,Iteration,Cat,Chicken,Cow,Dog,Duck,Effluent,Goat,Goose,Horse,Human,Pig,Sheep,Unknown,STORET,Site,Month,Path
1703029_001,1,0,0.0038,0,0,1.00E-04,0.0379,0,0.0013,0,0,0,0,0.9569,308411,Jimtown Road,March,1
1703029_002,1,0,0,0,0,1.00E-04,0.1978,0,1.00E-04,0,0,0,0,0.802,308371,Bundicks Branch,March,2
1703029_003,1,0,0,0,0,0,0.3404,0,0,0,0,0,0,0.6596,308291,Goslee Pond,March,3
1703029_004,1,0,0,1.00E-04,0,0,0,0,0.1647,0,0,2.00E-04,3.00E-04,0.8347,308015,Mouth,March,7
1703029_005,1,0,4.00E-04,0,0,0,0,0,0.172,0,0,0,0,0.8276,308018,West Lane,March,6
1703029_006,1,0,0,0,0,0,0.094,0,0,0,0,0,0.0011,0.9049,308021,Rt 24 Marina,March,5
1703029_007,1,0,0,0,0,0,0.2604,0,0,0,0,0,0,0.7396,308024,Misty Lane,March,4
1704019_001,1,0,0,0,0,6.00E-04,0.0148,0,0,1.00E-04,1.00E-04,0,0,0.9844,308411,Jimtown Road,April,1
1704019_002,1,0,0.003,0,0,5.00E-04,0.2825,0,0,0,0,0,0,0.714,308371,Bundicks Branch,April,2
1704019_003,1,0,0,0,0,0,0.1246,0,0,0,0,0,0,0.8754,308291,Goslee Pond,April,3
1704019_004,1,0,0,0.0946,0,0,0.013,0,0.2669,0,0,0,0,0.6255,308015,Mouth,April,7
1704019_005,1,0,0,0.1107,0,0,0.0183,0,0.309,0,0,0,0,0.562,308018,West Lane,April,6
1704019_006,1,0,0,5.00E-04,0,0,0.0363,0,0,0,0,0,0.0348,0.9284,308021,Rt 24 Marina,April,5
1704019_007,1,0,0.0012,0,0,2.00E-04,0.0245,0,0,0,0,0,0.0983,0.8758,308024,Misty Lane,April,4
1704019_008,1,0,0.0011,7.00E-04,0,0.0021,0.0486,0,0,0,0,0,0.0055,0.942,308021,Rt 24 Marina,April,5
1704019_009,1,0,0,0.0045,0,0,0.0421,0,0.0045,6.00E-04,0,0,0.0022,0.9461,308021,Rt 24 Marina,April,5
1705016_001,1,0,0,0,0,0,0.0202,0,0,0,0,0,0,0.9798,308411,Jimtown Road,May,1
1705016_002,1,0,0,1.00E-04,0,0,0.2867,0,0,0,0,0,0,0.7132,308371,Bundicks Branch,May,2
1705016_003,1,0,2.00E-04,0,0,0,0.2904,0,0,0,1.00E-04,0,0,0.7093,308291,Goslee Pond,May,3
1705016_004,1,0,0,0.2593,0,0,0.0502,0.0011,0.1982,0.004,0,0,1.00E-04,0.4871,308015,Mouth,May,7
1705016_005,1,0,0,0.1932,0,0,0.0354,0,0.211,0.0439,0,0,0,0.5165,308018,West Lane,May,6
1705016_006,1,0,0,0.0126,1.00E-04,0,0.0921,7.00E-04,0.0404,0,0,0,0,0.8541,308021,Rt 24 Marina,May,5
1705016_007,1,0,0,1.00E-04,0,0,0.1994,0,1.00E-04,0,0,0,0,0.8004,308024,Misty Lane,May,4
1705016_008,1,0,0,0.0721,1.00E-04,0,0.0868,1.00E-04,0,0.0747,0,0,0,0.7662,308021,Rt 24 Marina,May,5
1705016_009,1,0,0,0.005,0,0,0.0699,0,0.0485,0.0242,0,0,0,0.8524,308021,Rt 24 Marina,May,5
1706014_001,1,0,0,0,0,0,0.0249,0,0,0,0,0,0,0.9751,308411,Jimtown Road,June,1
1706014_002,1,0,0,0,0,0,0.3464,0,0,0,0,0,0,0.6536,308371,Bundicks Branch,June,2
1706014_003,1,1.00E-04,0,0,0,0,0.133,0,0,0,0.0931,0,0,0.7738,308291,Goslee Pond,June,3
1706014_004,1,0,2.00E-04,0.1091,0,0,0.1301,0,0.2891,2.00E-04,0,0,0,0.4713,308015,Mouth,June,7
1706014_005,1,0,0,0,0,0,0.0659,0,0.0495,1.00E-04,0,0,0,0.8845,308018,West Lane,June,6
1706014_006,1,0,1.00E-04,0,0,0,0.0838,0.0264,0.0459,0,0,0,0,0.8438,308021,Rt 24 Marina,June,5
1706014_007,1,0,0,0,0,0,0.1406,0,0,0,0,0,2.00E-04,0.8592,308024,Misty Lane,June,4
1706014_008,1,0,0,4.00E-04,0,4.00E-04,0.1568,7.00E-04,0,0,0,0,0,0.8417,308021,Rt 24 Marina,June,5
1706014_009,1,0,0.0023,0,0,3.00E-04,0.1069,0,0,0,0,0,1.00E-04,0.8904,308021,Rt 24 Marina,June,5
1706031_001,1,0,0,0.0022,0,0,0.1153,0,0.0881,0,0,0,0,0.7944,308015,Mouth,June Rain,7
1706031_002,1,1.00E-04,0,0,0,0,0.1605,0,0.1137,1.00E-04,0,0,0,0.7256,308018,West Lane,June Rain,6
1706031_003,1,0,0,0,0,6.00E-04,0.2146,0,0,0,0,0,0,0.7848,308021,Rt 24 Marina,June Rain,5
1706031_004,1,1.00E-04,0,0,0,0,0.2216,0,0,0,0.0064,0,3.00E-04,0.7716,308024,Misty Lane,June Rain,4
1706031_005,1,0,0,0,0,0,0.218,0,0,0,0,0,0,0.782,308021,Rt 24 Marina,June Rain,5
1707016_001,1,0,0,1.00E-04,0,0,0.052,0,0,0,0,0,0,0.9479,308411,Jimtown Road,July,1
1707016_002,1,0.0022,0,0,0,0,0.3549,0,0,0,0,0,0,0.6429,308371,Bundicks Branch,July,2
1707016_003,1,7.00E-04,0,0,8.00E-04,0,0.1294,0,0,0,0.0877,0,0,0.7814,308291,Goslee Pond,July,3
1707016_004,1,0.0055,4.00E-04,0,0,0,0.1256,0,0.1477,0,0,0,1.00E-04,0.7207,308015,Mouth,July,7
1707016_005,1,0.0077,0,0,0.0035,0,0.1598,0,0.0989,0,0,0,0,0.7301,308018,West Lane,July,6
1707016_006,1,0.0076,0,0,0.0011,0,0.2022,2.00E-04,0.0531,0,0,0,0,0.7358,308021,Rt 24 Marina,July,5
1707016_007,1,0,0,0,0.0303,0,0.0669,0,0,0,0,0,0,0.9028,308024,Misty Lane,July,4
1707016_008,1,0.0201,0,2.00E-04,0.0322,1.00E-04,0.1878,1.00E-04,0,0,0,0,0,0.7595,308021,Rt 24 Marina,July,5
1707016_009,1,0.0127,1.00E-04,0,3.00E-04,0,0.1345,0,0.0708,0,0,0,0,0.7816,308021,Rt 24 Marina,July,5
1708016_001,1,0,0,0,9.00E-04,0,0.0237,0,0,0,0,0,0,0.9754,308411,Jimtown Road,August,1
1708016_002,1,0,1.00E-04,0,0,6.00E-04,0.1349,0,0,0,0,0,0,0.8644,308371,Bundicks Branch,August,2
1708016_003,1,4.00E-04,0,0,0,0,0.2191,0,0,0,0.1208,0,0,0.6597,308291,Goslee Pond,August,3
1708016_004,1,0,0,0.0114,0,0,0.1377,0,0.1929,1.00E-04,0,0,1.00E-04,0.6578,308015,Mouth,August,7
1708016_005,1,0.0022,0,8.00E-04,0.0023,0,0.1616,0,0.1041,0,0,0,0,0.729,308018,West Lane,August,6
1708016_006,1,0.0485,1.00E-04,0,0.0021,0,0.1637,0,1.00E-04,0,0,0,0,0.7855,308021,Rt 24 Marina,August,5
1708016_008,1,0.0453,0,0,0.0049,0,0.1783,0,0,0,1.00E-04,0,0,0.7714,308021,Rt 24 Marina,August,5
1708016_009,1,0.0098,0,0,0.0149,0,0.1297,0,1.00E-04,0,0,0,0,0.8455,308021,Rt 24 Marina,August,5
1709004_001,1,0,0,0,0,0,0.0425,0,1.00E-04,0,0,1.00E-04,0,0.9573,308411,Jimtown Road,September,1
1709004_002,1,0,0,0,0,0,0.2962,0,0,0,0,0,0,0.7038,308371,Bundicks Branch,September,2
1709004_003,1,1.00E-04,0,0,0,7.00E-04,0.2307,0,0,0,0.0479,0,0,0.7206,308291,Goslee Pond,September,3
1709004_004,1,1.00E-04,0,0,0.0093,0,0.1035,0,0.1559,0,0,0,0,0.7312,308015,Mouth,September,7
1709004_005,1,0.0431,0,0,0.0033,0,0.0944,0,0.0544,0,0,0,2.00E-04,0.8046,308018,West Lane,September,6
1709004_006,1,0.0022,2.00E-04,0,0,0,0.1575,0,0,0,0,0,0,0.8401,308021,Rt 24 Marina,September,5
1709004_007,1,0,0,0,1.00E-04,0,0.2393,0,0,0,2.00E-04,0,0,0.7604,308024,Misty Lane,September,4
1709004_008,1,0.0018,0,0,0.0037,0,0.1344,0,0,0,0,0,0,0.8601,308021,Rt 24 Marina,September,5
1709004_009,1,0.0043,0,0,0.0112,0,0.1272,0,0,0,0,0,0,0.8573,308021,Rt 24 Marina,September,5
1709044_001,1,0,0,0,1.00E-04,0,0.0397,0,0,0,0,0,0,0.9602,308411,Jimtown Road,October,1
1709044_002,1,0,0,0,0,0,0.0804,0,0,0,0,0,0,0.9196,308371,Bundicks Branch,October,2
1709044_003,1,0,0,0,0.0101,0,0.1919,0,4.00E-04,0,0.0837,0,0,0.7139,308291,Goslee Pond,October,3
1709044_004,1,0.045,0,0.0044,0.0907,0,0.0598,0,0.1722,0,0,0,0,0.6279,308015,Mouth,October,7
1709044_005,1,0.0041,0,0,0.1359,0,0.0597,0,0.1863,0,0,0,0,0.614,308018,West Lane,October,6
1709044_006,1,0.027,1.00E-04,0,0.0022,0,0.109,0,0.081,2.00E-04,0,0,0,0.7805,308021,Rt 24 Marina,October,5
1709044_007,1,0.0083,2.00E-04,0,3.00E-04,0,0.0949,0,2.00E-04,0,0,0,0,0.8961,308024,Misty Lane,October,4
1709044_008,1,0.0432,0,0,0.0057,0,0.1068,0,0.1424,0,0,0,0,0.7019,308021,Rt 24 Marina,October,5
1709044_009,1,0.0028,0,0,0.0087,0,0.1155,0,0.1393,0,0,0,0,0.7337,308021,Rt 24 Marina,October,5
1808004_004,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,Coursey Pond,,
1808016_001,1,0,0,0,0,0,0.218,0,0.0288,0,0,0,0,0.7532,,Allen Harim,,
1810020_001,1,0,0,0,0,0.0656,0.224,0,6.00E-04,0,0,0.0212,0,0.6886,,Mountaire Upstream,,
1810020_002,1,0,1.00E-04,0,1.00E-04,0.0847,0.27,0,0,0,1.00E-04,0,0,0.645,,Mountaire Middle,,
1810020_003,1,0,0,0,0,0.0249,0.3885,0,0,0,9.00E-04,0.0648,0,0.5209,,Mountaire Downstream,,
1703029_001,2,0,6.00E-04,0,0,0,0.0241,0,3.00E-04,0,0,0,0,0.975,308411,Jimtown Road,March,1
1703029_002,2,0,0,0,0,0,0.1636,0,0,0,0,0,0,0.8364,308371,Bundicks Branch,March,2
1703029_003,2,0,7.00E-04,0,0,0,0.3423,0,0,0,0,0,0,0.657,308291,Goslee Pond,March,3
1703029_004,2,0,8.00E-04,0,0,0,0,0.2703,0.0036,0,0,0,0,0.7253,308015,Mouth,March,7
1703029_005,2,1.00E-04,0,0,0,0,1.00E-04,0.3284,0,1.00E-04,0,0,0,0.6713,308018,West Lane,March,6
1703029_006,2,1.00E-04,0,0,0,0,0.062,0.0933,8.00E-04,0,0,0,0,0.8438,308021,Rt 24 Marina,March,5
1703029_007,2,0,0,0,0,0,0.2271,0,0,0,0,0,0,0.7729,308024,Misty Lane,March,4
1704019_001,2,0,0,0,0,0,0.02,0,0,0,0,0,0,0.98,308411,Jimtown Road,April,1
1704019_002,2,0,0,0,0,0,0.2703,0,0,0,1.00E-04,0,0,0.7296,308371,Bundicks Branch,April,2
1704019_003,2,0,0,0,0,0,0.1419,0,0,0,0,0,0,0.8581,308291,Goslee Pond,April,3
1704019_004,2,0.3779,0,0,0,1.00E-04,0,6.00E-04,0,0,0.0022,0,0,0.6192,308015,Mouth,April,7
1704019_005,2,0.3043,0,0,0,0,0,0.0701,0.0017,0,0.0406,0,0,0.5833,308018,West Lane,April,6
1704019_006,2,0,0,0,0,0,0,0,0.1462,0,0.1591,0,0,0.6947,308021,Rt 24 Marina,April,5
1704019_007,2,0,0,0,0.0032,0,0,0.0135,0.1768,0,0.1851,2.00E-04,0,0.6212,308024,Misty Lane,April,4
1704019_008,2,0,1.00E-04,0,0,5.00E-04,0,0,0.1553,0,0.1077,0,0,0.7364,308021,Rt 24 Marina,April,5
1704019_009,2,5.00E-04,0,0,7.00E-04,0,0,0,0.1784,0,0.1363,0,0,0.6841,308021,Rt 24 Marina,April,5
1705016_001,2,0,0,0,0,0,0.0179,0,1.00E-04,0,0,0,0,0.982,308411,Jimtown Road,May,1
1705016_002,2,0,0,0,0,0,0.2542,0,0,0,0,0,0,0.7458,308371,Bundicks Branch,May,2
1705016_003,2,0,0,0,1.00E-04,0,0.2908,0,1.00E-04,0,0,0,1.00E-04,0.7089,308291,Goslee Pond,May,3
1705016_004,2,0.3401,0,0,0,0,0,0,0.0076,0,0.0242,0,0,0.6281,308015,Mouth,May,7
1705016_005,2,0.2717,0.0017,0,0,0,1.00E-04,0.0658,0.0429,0,0.0049,0,0,0.6129,308018,West Lane,May,6
1705016_006,2,0.021,0,0,0.111,0,0,0.0206,0.1736,0,9.00E-04,1.00E-04,0,0.6728,308021,Rt 24 Marina,May,5
1705016_007,2,0,2.00E-04,0,0.0286,0,0.0826,0,0.0358,0,0,0,0,0.8528,308024,Misty Lane,May,4
1705016_008,2,0.0074,0,1.00E-04,0.1078,1.00E-04,0,0,0.127,5.00E-04,0,0,0,0.7571,308021,Rt 24 Marina,May,5
1705016_009,2,0.0496,1.00E-04,0,0.0478,0,0,0.034,0.1316,0,2.00E-04,0,0,0.7367,308021,Rt 24 Marina,May,5
1706014_001,2,0,0,0,0,0,0.002,0,0.0025,0,0,0,0,0.9955,308411,Jimtown Road,June,1
1706014_002,2,0,4.00E-04,0,0,0,0.3402,0,0,0,0,1.00E-04,0,0.6593,308371,Bundicks Branch,June,2
1706014_003,2,0,6.00E-04,0,1.00E-04,1.00E-04,0.2437,0,0,0,0,0,0,0.7555,308291,Goslee Pond,June,3
1706014_004,2,0.2411,0,0,0.2463,0,0,0,0.0037,0,0,0,0,0.5089,308015,Mouth,June,7
1706014_005,2,0,0.0011,0,0.249,0,0,0,0.0073,0,0,0,0,0.7426,308018,West Lane,June,6
1706014_006,2,0,0,0,0.1394,0,3.00E-04,0,0.1171,0,5.00E-04,0,0,0.7427,308021,Rt 24 Marina,June,5
1706014_007,2,0,0,0,0.1182,9.00E-04,0.0715,0,0.1484,6.00E-04,4.00E-04,0,0,0.66,308024,Misty Lane,June,4
1706014_008,2,1.00E-04,0,0,0.1873,1.00E-04,8.00E-04,0,0.0639,0,0,0,0,0.7478,308021,Rt 24 Marina,June,5
1706014_009,2,1.00E-04,0,0,0.1488,0,0,0,0.1317,0,0,0,0,0.7194,308021,Rt 24 Marina,June,5
1706031_001,2,0.0765,1.00E-04,0,0.1896,0,0,4.00E-04,4.00E-04,0,0,0,0,0.733,308015,Mouth,June Rain,7
1706031_002,2,0.14,0,0,0.1249,1.00E-04,0.0038,0,0,0,0,0,0,0.7312,308018,West Lane,June Rain,6
1706031_003,2,0,0,0,0.0105,5.00E-04,0.0041,0,0.1155,0,0,0,0,0.8694,308021,Rt 24 Marina,June Rain,5
1706031_004,2,0,0,0,0,3.00E-04,0.1287,0,0.0079,0,0,0,0,0.8631,308024,Misty Lane,June Rain,4
1706031_005,2,1.00E-04,0,0,0.0054,0,0.0211,0,0.1507,0,0,0,0,0.8227,308021,Rt 24 Marina,June Rain,5
1707016_001,2,0,0,0,0,0,0.0531,0,0,0,0,0,0,0.9469,308411,Jimtown Road,July,1
1707016_002,2,0,0,0,0,0,0.33,0,0,0,0,0,0,0.67,308371,Bundicks Branch,July,2
1707016_003,2,4.00E-04,0,0,2.00E-04,0.0019,0.1444,0,0,0,0.0233,0,0,0.8298,308291,Goslee Pond,July,3
1707016_004,2,0.1021,0,0,0.2233,0,0,0,0,0,0,0,0,0.6746,308015,Mouth,July,7
1707016_005,2,0.0676,0,0,0.2269,0,0.0367,0,0,0,0,0,0,0.6688,308018,West Lane,July,6
1707016_006,2,0,0,0,0.2516,2.00E-04,0.0284,0,0,0,0,0,0,0.7198,308021,Rt 24 Marina,July,5
1707016_007,2,0,0,0,0.0935,1.00E-04,0.0235,0,0,0,1.00E-04,0,0,0.8828,308024,Misty Lane,July,4
1707016_008,2,0.0046,0,0,0.2622,0,0.0276,0,4.00E-04,0,0,0,0,0.7052,308021,Rt 24 Marina,July,5
1707016_009,2,0.0021,0,0,0.237,0,0.0276,0,0,0,0,0,0,0.7333,308021,Rt 24 Marina,July,5
1708016_001,2,0,0,0,1.00E-04,0,0.032,0,0,0,0,0,0,0.9679,308411,Jimtown Road,August,1
1708016_002,2,1.00E-04,0,0,0,0,0.0881,0,0,0,0,0,0,0.9118,308371,Bundicks Branch,August,2
1708016_003,2,0,0,0,0.0351,1.00E-04,0.17,0,0,0,0.106,0,0,0.6888,308291,Goslee Pond,August,3
1708016_004,2,0.2352,0,0,5.00E-04,1.00E-04,0.0908,0,0,1.00E-04,0,0,0,0.6733,308015,Mouth,August,7
1708016_005,2,0.0926,0,0,0.0944,0,0.1532,0,0,0,0,0,0,0.6598,308018,West Lane,August,6
1708016_006,2,1.00E-04,0,0,0.1919,0,0.0443,0,6.00E-04,0,0,0,0,0.7631,308021,Rt 24 Marina,August,5
1708016_008,2,0,1.00E-04,0,0.1834,0,0.0402,4.00E-04,2.00E-04,0,0,0,0,0.7757,308021,Rt 24 Marina,August,5
1708016_009,2,0.0029,0,0,0.2069,0,0.0224,0,0.0012,0,1.00E-04,0,0,0.7665,308021,Rt 24 Marina,August,5
1709004_001,2,1.00E-04,0,0,0,0,0.0627,0,0,0,0,0,0,0.9372,308411,Jimtown Road,September,1
1709004_002,2,0,0,0,2.00E-04,1.00E-04,0.2834,0,0,0,0,1.00E-04,0,0.7162,308371,Bundicks Branch,September,2
1709004_003,2,0,0,0,2.00E-04,0,0.2349,0,2.00E-04,0,0.0417,0,0,0.723,308291,Goslee Pond,September,3
1709004_004,2,0.2935,0,0,0.0121,0,0.0111,0,3.00E-04,0,0,0,0,0.683,308015,Mouth,September,7
1709004_005,2,0.009,0,0,0.2451,2.00E-04,0,0.0011,0,0,0,0,0,0.7446,308018,West Lane,September,6
1709004_006,2,2.00E-04,0,0,0.2497,0,0,0,0,0,0,2.00E-04,0,0.7499,308021,Rt 24 Marina,September,5
1709004_007,2,2.00E-04,0,0,0.2807,0.018,0.0739,0,0,0,0.0024,0.0036,0,0.6212,308024,Misty Lane 2,September,4
1709004_008,2,0,0,0,0.2306,0,0,0,0,0,1.00E-04,0,0,0.7693,308021,Rt 24 Marina,September,5
1709004_009,2,0,0,0,0.262,0,0.0091,0,0,0,1.00E-04,0,0,0.7288,308021,Rt 24 Marina,September,5
1709044_001,2,0,0,0,0,0,0.0446,0,0,0,0,0,0,0.9554,308411,Jimtown Road,October,1
1709044_002,2,1.00E-04,0,0,0,0,0.067,0,1.00E-04,0,3.00E-04,0,0,0.9325,308371,Bundicks Branch,October,2
1709044_003,2,0,0,0,1.00E-04,0,0.2453,0,2.00E-04,0,0,0,0,0.7544,308291,Goslee Pond,October,3
1709044_004,2,0.3744,0,0,0.0011,0,0,0,0,0,0,0,0,0.6245,308015,Mouth,October,7
1709044_005,2,0.3034,0,0,0.0231,0,0,0,0,0,0.0027,0,0,0.6708,308018,West Lane,October,6
1709044_006,2,0.1043,1.00E-04,0,0.2343,1.00E-04,0.0144,0,0,0,0,2.00E-04,0,0.6466,308021,Rt 24 Marina,October,5
1709044_007,2,0.007,0,0,0.3359,0,0,0,0,0,0,0,0,0.6571,308024,Misty Lane 2,October,4
1709044_008,2,0.1816,0,1.00E-04,0.1664,0,0,2.00E-04,1.00E-04,0,0,0,0,0.6516,308021,Rt 24 Marina,October,5
1709044_009,2,0.1456,0,0,0.2087,0,0.0052,0,0,0,0,0,0,0.6405,308021,Rt 24 Marina,October,5
1808004_004,2,0,0,0,0,0,0.0014,0,0,0,0,0,0,0.9986,,Coursey Pond,,
1808016_001,2,0,0,0,0,0,0.1903,0,1.00E-04,0,0,0,0,0.8096,,Allen Harim,,
1810020_001,2,0,0,0,0,0.0686,0.148,0,2.00E-04,0,0,0.1054,0,0.6778,,Mountaire Upstream,,
1810020_002,2,0,0,0,0.0013,0.0813,0.1536,0,0,0,0,0.0979,0,0.6659,,Mountaire Middle,,
1810020_003,2,1.00E-04,0,0,0,0.052,0.2897,0,0,0,0,0.15,0,0.5082,,Mountaire Downstream,,
1703029_001,3,0,1.00E-04,0,0,0,0,0,0.0048,0,0,0,0,0.9951,308411,Jimtown Road,March,1
1703029_002,3,0,0,0,0,0,0.1748,0,0,0,0,0,0,0.8252,308371,Bundicks Branch,March,2
1703029_003,3,0,0,0,0,0,0.3284,0,0.0517,0.0496,0.0018,0,0,0.5685,308291,Goslee Pond,March,3
1703029_004,3,0,0.1156,0,0,0,0,2.00E-04,0,0,0,0,0,0.8842,308015,Mouth,March,7
1703029_005,3,0,0.1405,0,0,0,0,0,0,1.00E-04,0,1.00E-04,0,0.8593,308018,West Lane,March,6
1703029_006,3,0,0.003,0,0,0.0016,0.0761,0,0.0011,0,0,0,0,0.9182,308021,Rt 24 Marina,March,5
1703029_007,3,0,0.0011,0,0,0,0.2334,0,0.0077,0.0197,0,0,0,0.7381,308024,Misty Lane,March,4
1704019_001,3,0,0,0,0,0,0.0265,0,0,0,0,0,0,0.9735,308411,Jimtown Road,April,1
1704019_002,3,0,0,0,0,0,0.3031,0,3.00E-04,3.00E-04,0,0,0,0.6963,308371,Bundicks Branch,April,2
1704019_003,3,0,2.00E-04,0,0,0,0.1325,0,2.00E-04,0.0025,1.00E-04,0,0,0.8645,308291,Goslee Pond,April,3
1704019_004,3,0,0.2879,5.00E-04,0,0,1.00E-04,0,1.00E-04,0,0,0,0,0.7114,308015,Mouth,April,7
1704019_005,3,0,0.3273,2.00E-04,0,0.0033,0,0,0,0,0,0,0,0.6692,308018,West Lane,April,6
1704019_006,3,0,0.0017,3.00E-04,0,0,0.122,0,0,0.1232,0,0,0,0.7528,308021,Rt 24 Marina,April,5
1704019_007,3,0,0.0552,6.00E-04,0,3.00E-04,0.1133,0,0.0071,0.1054,0,0,0,0.7181,308024,Misty Lane,April,4
1704019_008,3,0,0.009,0,0,3.00E-04,0.1123,1.00E-04,0.0284,0.0305,0,3.00E-04,2.00E-04,0.8189,308021,Rt 24 Marina,April,5
1704019_009,3,0,0,0,0,0,0.0909,0,9.00E-04,0.0536,0,0,0,0.8546,308021,Rt 24 Marina,April,5
1705016_001,3,0,0,0,0,0,0.0263,0,0,0,0,0,0,0.9737,308411,Jimtown Road,May,1
1705016_002,3,0,0,0,0,0,0.3214,0,0.0735,0.0126,0,0,0,0.5925,308371,Bundicks Branch,May,2
1705016_003,3,0,0,0,0,0,0.3259,0,0.0103,0.1187,0,1.00E-04,4.00E-04,0.5446,308291,Goslee Pond,May,3
1705016_004,3,0,0.2027,1.00E-04,0,0.0016,0,0,0,0.1597,0,0,1.00E-04,0.6358,308015,Mouth,May,7
1705016_005,3,0,0.2018,7.00E-04,0,0,0,0,0,0.1818,0,0,0,0.6157,308018,West Lane,May,6
1705016_006,3,0,0.0016,0,0,0,0.1205,0,0,0.1931,0,0,0,0.6848,308021,Rt 24 Marina,May,5
1705016_007,3,0,0,0,0,0,0.1933,1.00E-04,0,0.113,0,0,0,0.6936,308024,Misty Lane,May,4
1705016_008,3,0,0,0,0,0,0.0977,0,0,0.2094,0,0.0012,0,0.6917,308021,Rt 24 Marina,May,5
1705016_009,3,0,0,0,0,0.0313,0.0757,0,0,0.1482,0,0,0,0.7448,308021,Rt 24 Marina,May,5
1706014_001,3,0,0,0,0,0,0.0217,0,0.0051,0,0,0,0,0.9732,308411,Jimtown Road,June,1
1706014_002,3,0,0,0,0,3.00E-04,0.4041,0,6.00E-04,0,0,0.0059,0,0.5891,308371,Bundicks Branch,June,2
1706014_003,3,0.0055,7.00E-04,0,0,0.0074,0.1438,0,2.00E-04,0,0.1423,0,0,0.7001,308291,Goslee Pond,June,3
1706014_004,3,0,0.0819,0.0019,0,0,0,0,0,0.2512,0,0,0,0.665,308015,Mouth,June,7
1706014_005,3,0,0,0,0,0,0,0,9.00E-04,0.1013,0,5.00E-04,0,0.8973,308018,West Lane,June,6
1706014_006,3,0,0,1.00E-04,0,0,0.0765,0,0,0.041,1.00E-04,0,0,0.8823,308021,Rt 24 Marina,June,5
1706014_007,3,0,0,0,0,1.00E-04,0.1357,0,0,0.0847,0,0,0,0.7795,308024,Misty Lane,June,4
1706014_008,3,0,0,0,0,0,0.0566,0,0,0.0799,0,0,0,0.8635,308021,Rt 24 Marina,June,5
1706014_009,3,0,1.00E-04,0,0,0,0.0778,0,0,0.0781,0,0,0,0.844,308021,Rt 24 Marina,June,5
1706031_001,3,0,0,0,0,0,0.0127,0,0,0.0492,0,0,0,0.9381,308015,Mouth,June Rain,7
1706031_002,3,0,0.0148,0,0,0,0.0578,0,0,0.0698,0,0,0,0.8576,308018,West Lane,June Rain,6
